Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,AltitudeFromSea,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,TargetDistance,TargetVelocity,StageDeltaV,VesselDeltaV,Pressure,
1,1,1.22,2.17,374.6,1.22,31.37,92.3,72.39,0,-0.1,-74.56,83,0,0.1,175,0,0,3111,3975,100.09,
2,3,1.22,2.22,374.61,1.22,31.24,94.48,72.39,0,-0.1,-74.56,86,0,0.1,175,0,0,3101,3965,100.06,
3,6,1.23,2.28,374.63,1.23,31.11,99.04,72.39,0,-0.1,-74.56,91,0,0.1,175,0,0,3088,3953,99.99,
4,8,1.23,2.33,374.66,1.23,30.98,105.65,72.39,0,-0.1,-74.56,99,0,0.1,175,0,0,3078,3944,99.89,
5,10,1.24,2.38,374.71,1.24,30.85,114.92,72.39,0,-0.1,-74.56,111,0,0.1,175,0,0,3065,3933,99.75,
6,13,1.24,2.43,374.77,1.24,30.72,126.17,72.39,0,-0.1,-74.56,125,0,0.1,175,0,0,3053,3922,99.59,
7,15,1.25,2.48,374.83,1.25,30.58,140.37,72.39,0,-0.1,-74.56,143,0,0.1,176,0,0,3043,3914,99.38,
8,18,1.25,2.54,374.92,1.25,30.45,156.45,72.39,0,-0.1,-74.56,163,0,0.1,176,0,0,3030,3905,99.14,
9,20,1.26,2.59,375.02,1.26,30.32,175.8,72.39,0,-0.1,-74.56,187,0,0.1,176,0,0,3018,3896,98.86,
10,23,1.26,2.65,375.12,1.27,30.19,197.39,72.39,0,-0.1,-74.56,215,0,0.1,176,0,0,3008,3889,98.54,
11,26,1.27,2.7,375.24,1.27,30.06,221.64,72.39,0,-0.1,-74.56,246,0,0.1,177,0,0,2996,3881,98.19,
12,28,1.28,2.76,375.39,1.28,29.93,248.04,72.39,0,-0.1,-74.56,280,0,0.1,177,0,0,2984,3873,97.8,
13,31,1.28,2.81,375.52,1.28,29.79,278.34,72.39,0,-0.1,-74.56,319,0,0.1,178,0,0,2974,3868,97.36,
14,34,1.29,2.87,375.68,1.29,29.66,310.22,72.39,0,-0.1,-74.56,360,0,0.1,178,0,0,2962,3861,96.9,
15,37,1.29,2.93,375.87,1.3,29.53,346.34,72.39,0,-0.1,-74.56,407,0,0.1,179,0,0,2949,3855,96.38,
16,40,1.3,2.98,376.03,1.3,29.4,384.73,72.39,0,-0.1,-74.56,457,0,0.1,179,0,0,2940,3851,95.83,
17,43,1.3,3.04,376.24,1.31,29.27,426.1,72.39,0,-0.1,-74.56,511,0,0.1,180,0,0,2928,3846,95.23,
18,46,1.31,3.1,376.46,1.32,29.14,469.61,72.39,0,-0.1,-74.56,568,0,0.1,181,0,0,2916,3842,94.62,
19,49,1.32,3.16,376.7,1.32,29,519.06,72.39,0,-0.1,-74.56,634,0,0.1,182,0,0,2903,3838,93.92,
20,52,1.32,3.22,376.9,1.33,28.88,567.74,72.39,0,-0.1,-74.56,698,0,0.1,182,0,0,2894,3835,93.23,
21,56,1.33,3.28,377.16,1.34,28.74,622.73,72.39,0,-0.1,-74.56,772,0,0.1,183,0,0,2882,3832,92.46,
22,59,1.33,3.33,377.38,1.34,28.61,679.96,72.39,0,-0.1,-74.56,849,0,0.1,184,0,0,2872,3831,91.67,
23,62,1.34,3.39,377.66,1.35,28.48,740.53,72.39,0,-0.1,-74.56,930,0,0.1,186,0,0,2860,3829,90.83,
24,66,1.34,3.45,377.96,1.36,28.35,803.2,72.39,0,-0.1,-74.56,1015,0,0.1,187,0,0,2848,3827,89.98,
25,69,1.35,3.51,378.21,1.37,28.21,871.96,72.39,0,-0.1,-74.56,1109,0,0.1,188,0,0,2839,3827,89.05,
26,73,1.36,3.57,378.52,1.37,28.09,941.48,72.39,0,-0.1,-74.56,1204,0,0.1,189,0,0,2827,3826,88.11,
27,76,1.36,3.64,378.85,1.38,27.95,1019.02,72.39,0.01,-0.1,-74.56,1310,0,0.1,191,0,0,2815,3826,87.08,
28,80,1.37,3.69,379.12,1.39,27.82,1094.1,72.39,0.01,-0.1,-74.56,1414,0,0.1,192,0,0,2805,3827,86.09,
29,84,1.37,3.76,379.46,1.4,27.69,1177.61,72.39,0.01,-0.1,-74.56,1529,0,0.1,194,0,0,2793,3828,84.99,
30,87,1.38,3.82,379.81,1.4,27.56,1261.54,72.39,0.01,-0.1,-74.56,1646,0,0.1,195,0,0,2781,3829,83.91,
31,91,1.39,3.88,380.18,1.41,27.42,1354.63,72.39,0.01,-0.1,-74.56,1776,0,0.1,197,0,0,2768,3831,82.72,
32,95,1.39,3.94,380.47,1.42,27.3,1444.3,72.39,0.01,-0.1,-74.56,1902,0,0.1,199,0,0,2759,3833,81.58,
33,99,1.4,4,380.84,1.43,27.16,1543.55,72.38,0.01,-0.1,-74.56,2043,0,0.1,201,0,0,2747,3835,80.34,
34,103,1.4,4.01,381.16,1.44,27.03,1642.83,72.38,0.01,-0.1,-74.56,2183,0,0.1,203,0,0,2737,3838,79.11,
35,107,1.4,4.05,381.54,1.44,26.9,1750.23,72.38,0.01,-0.1,-74.56,2335,0,0.1,205,0,0,2724,3841,77.8,
36,111,1.4,4.12,381.92,1.45,26.77,1857.33,72.38,0.01,-0.1,-74.56,2486,0,0.1,208,0,0,2712,3844,76.52,
37,115,1.4,4.2,382.33,1.46,26.63,1975.2,72.39,0.01,-0.1,-74.56,2654,0,0.1,212,0,0,2699,3848,75.12,
38,119,1.41,4.28,382.64,1.47,26.51,2087.88,72.39,0.01,-0.1,-74.56,2814,0,0.1,215,0,0,2689,3852,73.8,
39,124,1.41,4.38,383.04,1.48,26.37,2211.71,72.39,0,-0.1,-74.56,2990,0,0.11,218,0,0,2677,3856,72.38,
40,128,1.42,4.47,383.37,1.49,26.24,2334.7,72.39,0,-0.1,-74.56,3166,0,0.11,222,0,0,2666,3860,70.98,
41,132,1.43,4.57,383.77,1.5,26.11,2466.95,72.4,0.01,-0.1,-74.56,3356,0,0.11,226,0,0,2653,3865,69.51,
42,136,1.43,4.67,384.17,1.51,25.98,2598.11,67.64,0.02,-0.1,-74.56,3545,0,0.11,230,0,0,2641,3869,68.07,
43,141,1.44,4.79,384.5,1.51,25.85,2738.92,67.63,0.03,-0.1,-74.55,3749,0,0.11,234,0,0,2630,3874,66.56,
44,145,1.44,4.9,384.9,1.52,25.72,2878.38,67.64,0.04,-0.1,-74.55,3951,0,0.11,239,0,0,2617,3879,65.08,
45,150,1.45,5.02,385.3,1.53,25.58,3027.91,67.64,0.06,-0.1,-74.55,4168,0,0.12,243,0,0,2604,3884,63.53,
46,154,1.45,5.15,385.63,1.54,25.45,3178.86,67.66,0.08,-0.1,-74.55,4388,0,0.12,248,0,0,2592,3888,61.99,
47,159,1.46,5.28,386.03,1.55,25.32,3334.15,67.7,0.1,-0.1,-74.55,4614,0,0.12,253,0,0,2579,3894,60.45,
48,164,1.47,5.42,386.43,1.56,25.19,3490.57,67.7,0.12,-0.1,-74.55,4843,0,0.12,258,0,0,2566,3899,58.92,
49,169,1.47,5.57,386.76,1.57,25.06,3657.86,67.74,0.15,-0.1,-74.54,5088,0,0.13,264,0,0,2554,3903,57.32,
50,174,1.48,5.71,387.16,1.58,24.93,3822.89,64.76,0.18,-0.1,-74.54,5331,0,0.13,269,0,0,2540,3909,55.78,
51,179,1.49,5.87,387.55,1.59,24.79,3999.17,64.63,0.21,-0.1,-74.54,5590,0,0.13,275,0,0,2526,3914,54.17,
52,184,1.49,6.03,387.87,1.6,24.66,4172.87,64.24,0.25,-0.1,-74.53,5846,0,0.13,281,0,0,2515,3918,52.62,
53,189,1.5,6.21,388.26,1.61,24.53,4358.17,63.78,0.29,-0.1,-74.53,6119,0,0.14,287,0,0,2501,3923,51,
54,195,1.51,6.38,388.64,1.62,24.4,4544.32,63.28,0.34,-0.1,-74.53,6393,0,0.14,293,0,0,2486,3928,49.42,
55,200,1.51,6.56,389.03,1.63,24.27,4734.9,63.19,0.39,-0.1,-74.52,6674,0,0.14,300,0,0,2471,3932,47.85,
56,205,1.52,6.74,389.33,1.64,24.14,4925.94,63.44,0.44,-0.1,-74.52,6956,0,0.14,306,0,0,2459,3936,46.31,
57,211,1.53,6.94,389.71,1.65,24,5129.28,63.2,0.5,-0.1,-74.51,7256,0,0.14,313,0,0,2445,3940,44.71,
58,217,1.53,7.13,390.01,1.66,23.88,5328.93,61.64,0.57,-0.1,-74.5,7551,0,0.15,320,0,0,2432,3943,43.19,
59,223,1.54,7.34,390.38,1.67,23.74,5541.18,60.6,0.64,-0.1,-74.5,7863,0,0.15,328,0,0,2417,3947,41.62,
60,229,1.55,7.54,390.74,1.69,23.61,5749.35,61,0.72,-0.1,-74.49,8169,0,0.15,335,0,0,2402,3950,40.13,
61,236,1.56,7.76,391.1,1.7,23.48,5970.4,60.08,0.8,-0.1,-74.48,8494,0,0.15,343,0,0,2386,3953,38.59,
62,242,1.56,7.97,391.38,1.71,23.35,6186.94,58.21,0.89,-0.1,-74.47,8811,0,0.15,350,0,0,2374,3955,37.13,
63,249,1.57,8.2,391.73,1.72,23.21,6416.6,56.28,0.99,-0.1,-74.46,9147,0,0.15,359,0,0,2358,3957,35.63,
64,255,1.58,8.42,392.01,1.73,23.09,6641.33,54.52,1.09,-0.1,-74.45,9475,0,0.16,367,0,0,2345,3958,34.21,
65,262,1.59,8.65,392.34,1.74,22.95,6884.12,48.18,1.2,-0.1,-74.44,9828,0,0.16,375,0,0,2329,3960,32.72,
66,269,1.59,8.87,392.67,1.75,22.82,7116.89,41.5,1.32,-0.1,-74.43,10165,0,0.16,384,0,0,2312,3961,31.35,
67,277,1.6,9.09,393,1.77,22.69,7363.21,31.24,1.45,-0.1,-74.42,10521,0,0.16,393,0,0,2296,3961,29.95,
68,284,1.6,9.24,393.25,1.78,22.56,7598.71,17.08,1.58,-0.1,-74.41,10857,0,0.16,401,0,0,2282,3961,28.66,
69,291,1.59,9.38,393.56,1.79,22.43,7852.65,-0.99,1.72,-0.1,-74.39,11216,0,0.16,411,0,0,2265,3960,27.32,
70,298,1.59,9.52,393.81,1.8,22.3,8100.05,-23.84,1.87,-0.1,-74.38,11560,0,0.16,419,0,0,2251,3959,26.06,
71,306,1.59,9.7,394.11,1.81,22.16,8366.04,-62.42,2.03,-0.1,-74.36,11925,0,0.15,429,0,0,2234,3957,24.76,
72,313,1.59,9.88,394.4,1.82,22.03,8614.55,-116.47,2.19,-0.1,-74.35,12262,0,0.15,438,0,0,2217,3954,23.6,
73,321,1.59,10.09,394.68,1.84,21.9,8881.54,-226.82,2.37,-0.1,-74.33,12619,0,0.15,447,0,0,2199,3951,22.39,
74,329,1.61,10.33,394.9,1.85,21.77,9140.84,-331.69,2.56,-0.1,-74.31,12966,0,0.15,457,0,0,2185,3948,21.28,
75,338,1.63,10.61,395.17,1.86,21.63,9419.03,-404.41,2.76,-0.1,-74.29,13342,0,0.14,467,0,0,2167,3943,20.15,
76,346,1.66,10.88,395.38,1.87,21.51,9678.71,-463.4,2.96,-0.1,-74.28,13698,0,0.14,477,0,0,2152,3939,19.15,
77,355,1.69,11.18,395.62,1.89,21.37,9957.8,-539.56,3.18,-0.1,-74.25,14086,0,0.14,488,0,0,2134,3933,18.13,
78,365,1.72,11.48,395.85,1.9,21.24,10229.19,-589.87,3.4,-0.1,-74.23,14469,0,0.14,498,0,0,2115,3926,17.19,
79,375,1.75,11.81,396.08,1.91,21.11,10515.2,-621.7,3.64,-0.1,-74.21,14878,0,0.14,510,0,0,2097,3918,16.25,
80,385,1.77,12.12,396.26,1.92,20.98,10793.55,-667.02,3.89,-0.1,-74.19,15282,0,0.13,521,0,0,2081,3912,15.38,
81,396,1.8,12.42,396.46,1.94,20.85,11087.11,-697.52,4.15,-0.1,-74.16,15713,0,0.13,533,0,0,2062,3903,14.52,
82,406,1.8,12.53,396.63,1.95,20.72,11372.9,-714.97,4.41,-0.1,-74.14,16134,0,0.13,545,0,0,2046,3895,13.73,
83,417,1.81,12.65,396.82,1.96,20.58,11674.21,-737.97,4.7,-0.1,-74.11,16577,0,0.13,557,0,0,2027,3885,12.94,
84,428,1.81,12.78,397.01,1.98,20.45,11967.39,-744.65,4.99,-0.1,-74.08,17008,0,0.13,569,0,0,2007,3875,12.22,
85,440,1.82,12.93,397.18,1.99,20.32,12276.33,-757.03,5.3,-0.1,-74.05,17463,0,0.13,582,0,0,1987,3863,11.5,
86,451,1.83,13.1,397.32,2,20.19,12576.81,-750.2,5.61,-0.1,-74.02,17907,0,0.12,594,0,0,1971,3854,10.84,
87,463,1.85,13.28,397.48,2.02,20.06,12893.37,-728.36,5.95,-0.1,-73.99,18377,0,0.12,607,0,0,1951,3842,10.19,
88,475,1.86,13.48,397.61,2.03,19.93,13201.2,-724,6.28,-0.1,-73.96,18837,0,0.12,620,0,0,1934,3831,9.59,
89,487,1.88,13.7,397.76,2.05,19.79,13525.46,-856.58,6.64,-0.1,-73.92,19323,0,0.12,633,0,0,1914,3817,9,
90,499,1.9,13.92,397.9,2.06,19.67,13840.75,-888.87,7,-0.1,-73.89,19800,0,0.12,646,0,0,1893,3804,8.46,
91,512,1.92,14.16,398.04,2.08,19.53,14172.86,-877.49,7.38,-0.1,-73.85,20305,0,0.12,660,0,0,1872,3789,7.93,
92,525,1.93,14.4,398.14,2.09,19.4,14495.78,-886.26,7.77,-0.1,-73.82,20800,0,0.12,674,0,0,1855,3777,7.44,
93,539,1.95,14.66,398.26,2.11,19.27,14835.92,-871.89,8.18,-0.1,-73.78,21325,0,0.12,688,0,0,1833,3761,6.96,
94,552,1.97,14.9,398.36,2.12,19.14,15166.64,-868.3,8.59,-0.1,-73.74,21839,0,0.12,702,0,0,1816,3748,6.52,
95,566,1.99,15.15,398.47,2.14,19,15514.99,-873.64,9.03,-0.1,-73.7,22385,0,0.12,717,0,0,1794,3731,6.09,
96,580,2.01,15.39,398.57,2.15,18.88,15853.67,-862.98,9.47,-0.1,-73.65,22919,0,0.11,731,0,0,1772,3714,5.7,
97,594,2.03,15.64,398.67,2.17,18.74,16210.37,-842.44,9.94,-0.1,-73.61,23486,0,0.11,747,0,0,1750,3696,5.32,
98,609,2.05,15.87,398.75,2.18,18.61,16557.12,-834.98,10.4,-0.1,-73.56,24040,0,0.11,762,0,0,1732,3682,4.97,
99,624,2.07,16.12,398.83,2.2,18.48,16922.26,-852.21,10.9,-0.1,-73.52,24628,0,0.11,778,0,0,1709,3664,4.63,
100,639,2.09,16.37,398.91,2.22,18.35,17277.15,-865,11.39,-0.1,-73.47,25203,0,0.11,793,0,0,1687,3645,4.32,
101,654,2.11,16.63,398.99,2.23,18.22,17650.8,-871.27,11.92,-0.1,-73.42,25813,0,0.11,809,0,0,1665,3627,4.01,
102,669,2.13,16.88,399.05,2.25,18.09,18013.9,-881.64,12.44,-0.1,-73.37,26410,0,0.11,825,0,0,1647,3612,3.74,
103,686,2.15,17.15,399.12,2.26,17.95,18396.13,-882.81,13,-0.1,-73.32,27043,0,0.11,842,0,0,1625,3592,3.47,
104,701,2.17,17.41,399.18,2.28,17.82,18767.52,-888.95,13.55,-0.1,-73.26,27664,0,0.11,859,0,0,1602,3572,3.23,
105,718,2.19,17.69,399.24,2.3,17.69,19158.39,-889.74,14.14,-0.1,-73.21,28322,0,0.11,876,0,0,1579,3552,3,
106,735,2.21,17.96,399.29,2.32,17.56,19538.12,-899.94,14.73,-0.1,-73.15,28967,0,0.11,893,0,0,1556,3532,2.79,
107,752,2.23,18.24,399.35,2.34,17.43,19937.71,-926.33,15.35,-0.1,-73.09,29652,0,0.11,911,0,0,1533,3511,2.58,
108,769,2.25,18.51,399.39,2.35,17.3,20325.84,-921.22,15.97,-0.1,-73.03,30324,0,0.11,928,0,0,1509,3490,2.4,
109,787,2.28,18.8,399.44,2.37,17.16,20734.21,-949.98,16.62,-0.1,-72.97,31037,0,0.11,947,0,0,1486,3468,2.22,
110,804,2.3,19.08,399.47,2.39,17.03,21130.8,-936.22,17.27,-0.1,-72.91,31737,0,0.11,965,0,0,1466,3450,2.06,
111,823,2.32,19.37,399.51,2.41,16.9,21548,-935.51,17.97,-0.1,-72.84,32481,0,0.11,984,0,0,1443,3428,1.9,
112,841,2.34,19.66,399.55,2.43,16.77,21953.1,-943.88,18.65,-0.1,-72.78,33211,0,0.11,1002,0,0,1418,3405,1.76,
113,860,2.37,19.96,399.59,2.45,16.64,22379.19,-957.42,19.38,-0.1,-72.71,33989,0,0.11,1022,0,0,1394,3383,1.62,
114,878,2.39,20.25,399.62,2.47,16.51,22792.86,-944.4,20.09,-0.1,-72.64,34752,0,0.11,1041,0,0,1369,3359,1.5,
115,898,2.42,20.55,399.65,2.49,16.37,23227.9,-949.03,20.86,-0.1,-72.57,35566,0,0.11,1061,0,0,1344,3336,1.38,
116,917,2.44,20.85,399.67,2.5,16.24,23650.19,-955.21,21.61,-0.1,-72.49,36366,0,0.11,1081,0,0,1324,3317,1.28,
117,937,2.46,21.15,399.7,2.53,16.11,24094.23,-952.29,22.42,-0.1,-72.42,37219,0,0.11,1101,0,0,1299,3293,1.17,
118,957,2.49,21.45,399.72,2.55,15.98,24525.2,-938.14,23.21,-0.1,-72.34,38059,0,0.11,1122,0,0,1273,3268,1.08,
119,978,2.51,21.76,399.74,2.57,15.85,24978.29,-941.3,24.05,-0.1,-72.26,38955,0,0.11,1143,0,0,1247,3243,1,
120,998,2.54,22.06,399.77,2.59,15.72,25417.98,-957.19,24.88,-0.1,-72.18,39840,0,0.11,1164,0,0,1221,3218,0.92,
121,1020,2.57,22.38,399.78,2.61,15.58,25880.19,-969.74,25.76,-0.1,-72.1,40785,0,0.11,1186,0,0,1195,3193,0.84,
122,1041,2.59,22.68,399.8,2.64,15.45,26328.66,-980.83,26.62,-0.1,-72.02,41718,0,0.11,1207,0,0,1169,3167,0.78,
123,1063,2.62,23,399.82,2.66,15.32,26800.02,-958.89,27.55,-0.1,-71.93,42717,0,0.1,1230,0,0,1142,3142,0.71,
124,1084,2.64,23.31,399.83,2.68,15.19,27257.33,-948.51,28.45,-0.1,-71.84,43706,0,0.1,1252,0,0,1120,3120,0.66,
125,1107,2.67,23.64,399.84,2.7,15.06,27737.91,-935.95,29.42,-0.1,-71.75,44767,0,0.1,1275,0,0,1093,3094,0.6,
126,1129,2.7,23.95,399.86,2.73,14.93,28204.1,-936.85,30.37,-0.1,-71.66,45819,0,0.1,1297,0,0,1066,3067,0.55,
127,1152,2.72,24.25,399.87,2.75,14.79,28693.96,-961.71,31.37,-0.1,-71.56,46948,0,0.1,1321,0,0,1038,3040,0.51,
128,1175,2.74,24.54,399.88,2.78,14.67,29169.06,-960.01,32.36,-0.1,-71.47,48069,0,0.1,1344,0,0,1010,3012,0.47,
129,1199,2.77,24.85,399.89,2.8,14.53,29668.2,-955.17,33.42,-0.1,-71.37,49275,0,0.1,1368,0,0,982,2985,0.43,
130,1222,2.8,25.16,399.9,2.83,14.4,30152.23,-982,34.45,-0.1,-71.27,50476,0,0.1,1392,0,0,960,2963,0.39,
131,1247,2.82,25.48,399.91,2.85,14.27,30660.66,-1030.16,35.54,-0.1,-71.16,51772,0,0.1,1417,0,0,931,2934,0.36,
132,1271,2.85,25.79,399.92,2.88,14.14,31153.62,-1066.26,36.62,-0.1,-71.06,53066,0,0.1,1441,0,0,902,2906,0.33,
133,1296,2.88,26.12,399.92,2.91,14,31671.36,-1032.47,37.76,-0.1,-70.95,54467,0,0.1,1467,0,0,872,2877,0.3,
134,1320,2.9,26.45,399.93,2.94,13.88,32173.26,-1043.46,38.88,-0.1,-70.84,55870,0,0.1,1492,0,0,843,2848,0.28,
135,1346,2.93,26.79,399.93,2.97,13.74,32700.32,-1010.68,40.07,-0.1,-70.73,57395,0,0.1,1518,0,0,813,2818,0.26,
136,1371,2.96,27.12,399.94,2.99,13.61,33211.18,-980.15,41.24,-0.1,-70.62,58930,0,0.1,1543,0,0,783,2788,0.23,
137,1397,2.99,27.47,399.95,3.02,13.48,33747.57,-963.18,42.47,-0.1,-70.5,60605,0,0.1,1570,11841340,1693.72,753,2758,0.22,
138,1423,3.02,27.82,399.95,3.05,13.35,34267.41,-971.03,43.69,-0.1,-70.39,62298,0,0.1,1596,11839826,1715.85,728,2734,0.2,
139,1450,3.05,28.18,399.95,3.08,13.22,34813.16,-977.11,44.97,-0.1,-70.26,64156,0,0.1,1623,11838222,1739.23,698,2703,0.18,
140,1476,3.08,28.54,399.96,3.11,13.09,35342.01,-975.22,46.23,-0.1,-70.14,66045,0,0.1,1650,11836653,1762.03,666,2672,0.17,
141,1504,3.11,28.92,399.96,3.15,12.95,35897.15,-963.25,47.57,-0.1,-70.02,68130,0,0.1,1678,11834992,1786.1,635,2641,0.15,
142,1531,3.15,29.29,399.96,3.18,12.82,36435.04,-968.65,48.88,-0.1,-69.89,70263,0,0.1,1706,11833368,1809.57,602,2608,0.14,
143,1560,3.18,29.68,399.97,3.21,12.69,36999.61,-973.75,50.26,-0.1,-69.76,72634,0,0.1,1734,11831649,1834.36,570,2577,0.13,
144,1587,3.21,30.06,399.97,3.24,12.56,37546.58,-972.95,51.62,-0.1,-69.63,75079,0,0.1,1762,11829968,1858.53,544,2551,0.12,
145,1617,3.25,30.46,399.97,3.28,12.43,38120.62,-931.51,53.06,-0.1,-69.49,77819,0,0.1,1792,11828189,1884.05,511,2518,0.11,
146,1645,3.28,30.85,399.98,3.31,12.3,38676.71,-905.91,54.47,-0.1,-69.36,80668,0,0.1,1821,11826451,1908.93,478,2485,0.1,
147,1675,3.32,31.27,399.98,3.35,12.16,39260.27,-916.96,55.96,-0.1,-69.21,83893,0,0.1,1851,11824610,1935.21,444,2451,0.09,
148,1704,3.36,31.68,399.98,3.39,12.03,39825.54,-952.82,57.42,-0.1,-69.07,87280,0,0.1,1881,11822812,1960.83,411,2417,0.08,
149,1735,3.4,32.11,399.98,3.42,11.9,40418.67,-950.69,58.97,-0.1,-68.93,91157,0,0.1,1912,11820909,1987.88,376,2383,0.07,
150,1765,3.43,32.53,399.98,3.46,11.77,40993.16,-990.16,60.48,-0.1,-68.78,95278,0,0.1,1942,11819050,2014.25,341,2348,0.07,
151,1784,1.45,14.14,147.35,1.29,11.68,41595.17,-992.46,62.08,-0.1,-68.63,98314,0,0.1,1962,11817088,2030.48,319,2326,0.06,
152,1788,0.54,8.21,59.94,0.52,11.66,42173.8,-1013.97,63.63,-0.1,-68.48,99376,0,0.1,1966,11815192,2032.74,312,2319,0.06,
153,1788,0.18,7.57,20.3,0.18,11.65,42774.15,-1070.16,65.23,-0.1,-68.33,99779,0,0.1,1966,11813216,2030.53,309,2316,0.05,
154,1787,0.14,7.67,20,0.18,11.64,43349.17,-1053.14,66.78,-0.1,-68.18,100006,0,0.1,1965,11811316,2027.43,307,2314,0.05,
155,1784,0.02,8.1,399.99,3.5,11.64,43966.48,-1058.44,68.45,-0.1,-68.02,100008,0,0.1,1962,11809267,2022.59,307,2314,0.04,
156,1781,0,7.96,399.99,3.5,11.64,44546.38,-1066,70.02,-0.1,-67.87,100008,0,0.1,1960,11807335,2018.01,307,2314,0.04,
157,1780,0.17,7.58,399.99,3.5,11.63,45123.32,-1050.75,71.58,-0.1,-67.72,100204,0,0.1,1959,11805405,2014.71,306,2313,0.04,
158,1777,0.01,7.96,399.99,3.5,11.63,45697.57,-1042.48,73.15,-0.1,-67.57,100192,0,0.1,1956,11803475,2010.08,306,2313,0.03,
159,1774,0.01,7.94,399.99,3.5,11.63,46268.74,-1037.93,74.71,-0.1,-67.42,100181,0,0.1,1954,11801549,2005.46,306,2313,0.03,
160,1771,0.01,7.92,399.99,3.5,11.63,46836.84,-1032.03,76.27,-0.1,-67.27,100169,0,0.1,1951,11799625,2000.84,306,2313,0.03,
161,1769,0.01,7.9,399.99,3.5,11.63,47401.87,-1001.82,77.82,-0.1,-67.13,100157,0,0.1,1948,11797703,1996.24,306,2313,0.02,
162,1766,0.01,7.88,399.99,3.5,11.63,47963.84,-1013.29,79.37,-0.1,-66.98,100147,0,0.1,1946,11795784,1991.64,306,2313,0.02,
163,1763,0.01,7.86,399.99,3.5,11.63,48522.74,-1014.75,80.92,-0.1,-66.83,100137,0,0.1,1943,11793867,1987.06,306,2313,0.02,
164,1760,0.01,7.84,400,3.5,11.63,49078.58,-961.87,82.47,-0.1,-66.68,100129,0,0.1,1941,11791953,1982.48,306,2313,0.02,
165,1758,0.01,7.82,400,3.5,11.63,49631.37,-1007.69,84.01,-0.1,-66.54,100122,0,0.1,1938,11790042,1977.93,306,2313,0.02,
166,1755,0.01,7.8,400,3.5,11.63,50181.1,-1023.99,85.55,-0.1,-66.39,100115,0,0.1,1936,11788133,1973.39,306,2313,0.02,
167,1752,0.01,7.79,400,3.5,11.63,50727.79,-1015.83,87.09,-0.1,-66.24,100110,0,0.1,1933,11786227,1968.87,306,2313,0.01,
168,1750,0.01,7.77,400,3.5,11.63,51271.43,-1018.48,88.62,-0.1,-66.09,100105,0,0.1,1931,11784323,1964.36,306,2313,0.01,
